ano,codigo_del_departamento,departamento_de_oferta_del,codigo_del_municipio_programa,municipio_de_oferta_del,doctorado,especializaci_n_m_dico_quir,especializaci_n_t_cnico,especializacion_tecnologica,especializacion_universitaria,formacion_tecnica_profesio0l,maestria,tecnologica,universitaria,matricula_total,ies_con_oferta
2018,8,ATLANTICO,8573,PUERTO COLOMBIA,0,0,0,17,59,0,224,77,1462,1839,3
2018,8,ATLANTICO,8634,SABA0GRANDE,0,0,0,0,0,1,0,0,0,1,1
2018,8,ATLANTICO,8638,SABA0LARGA,0,0,0,45,0,0,0,824,0,869,1
2018,8,ATLANTICO,8758,SOLEDAD,0,0,0,0,0,1805,0,645,294,2744,3
2018,8,ATLANTICO,8770,SUAN,0,0,0,0,28,286,0,110,102,526,2
2018,11,BOGOTA D.C,11001,BOGOTA D.C.,2215,2733,106,1914,38933,38061,25431,157675,525511,792579,126
2018,13,BOLIVAR,13001,CARTAGE0,118,321,0,0,1795,1964,1371,28931,38273,72773,36
2018,13,BOLIVAR,13006,ACHI,0,0,0,0,0,0,0,0,20,20,1
2018,13,BOLIVAR,13212,CORDOBA,0,0,0,0,13,0,0,0,0,13,1
2018,13,BOLIVAR,13244,EL CARMEN DE BOLIVAR,0,0,0,0,0,0,0,0,506,506,1
2018,13,BOLIVAR,13430,MAGANGUE,0,0,0,0,0,115,0,39,915,1069,2
2018,13,BOLIVAR,13442,MARIA LA BAJA,0,0,0,0,0,0,0,0,78,78,1
2018,13,BOLIVAR,13468,MOMPOS,0,0,0,0,28,0,0,153,528,709,3
2018,13,BOLIVAR,13647,SAN ESTANISLAO,0,0,0,0,0,0,0,0,5,5,1
2018,13,BOLIVAR,13657,SAN JUAN NEPOMUCENO,0,0,0,0,0,0,0,0,777,777,1
2018,13,BOLIVAR,13688,SANTA ROSA DEL SUR,0,0,0,0,0,0,0,0,73,73,1
2018,13,BOLIVAR,13836,TURBACO,0,0,0,0,0,0,0,0,92,92,2
2018,13,BOLIVAR,13873,VILLANUEVA,0,0,0,0,0,0,0,0,1,1,1
2018,15,BOYACA,15001,TUNJA,155,0,0,66,2463,1135,1427,6786,30029,42061,10
2018,15,BOYACA,15097,BOAVITA,0,0,0,0,1,0,1,8,70,80,1
2018,15,BOYACA,15176,CHIQUINQUIRA,0,0,0,0,36,0,51,79,2345,2511,7
2018,15,BOYACA,15223,CUBARA,0,0,0,0,2,0,1,16,140,159,1
2018,15,BOYACA,15238,DUITAMA,0,0,0,101,217,0,69,1238,5250,6875,8
2018,15,BOYACA,15299,GARAGOA,0,0,0,0,3,0,1,24,243,271,2
